Jaar,Merk,Aantal verkochte auto's,Ranking,Totaal verkochte auto's
2016,Volkswagen,29380,1,582578
2016,Toyota,22886,2,364016
2016,Opel,22283,3,345517
2016,Peugeot,20234,4,356375
2016,Renault,18621,5,323396
2016,Kia,12930,6,255129
2016,Hyundai,11337,7,189212
2016,BMW,8561,8,216823
2016,Audi,7347,9,194187
2016,Skoda,6861,10,153171
2016,Telsa,9,11,51906
2017,Volkswagen,39208,1,582578
2017,Toyota,30857,2,364016
2017,Opel,29409,3,345517
2017,Renault,27489,4,323396
2017,Peugeot,27258,5,356375
2017,Kia,17991,6,255129
2017,Hyundai,14556,7,189212
2017,BMW,12880,8,216823
2017,Audi,11150,9,194187
2017,Skoda,9197,10,153171
2017,Telsa,305,11,51906
2018,Volkswagen,55776,1,582578
2018,Opel,40595,2,345517
2018,Toyota,38183,3,364016
2018,Renault,37809,4,323396
2018,Peugeot,34722,5,356375
2018,Kia,23563,6,255129
2018,Hyundai,19690,7,189212
2018,BMW,18625,8,216823
2018,Audi,15585,9,194187
2018,Skoda,13512,10,153171
2018,Telsa,3426,11,51906
2019,Volkswagen,80724,1,582578
2019,Opel,52535,2,345517
2019,Toyota,49494,3,364016
2019,Peugeot,48070,4,356375
2019,Renault,47089,5,323396
2019,Kia,31791,6,255129
2019,Hyundai,27221,7,189212
2019,BMW,26809,8,216823
2019,Telsa,25097,9,51906
2019,Audi,24945,10,194187
2019,Skoda,21751,11,153171
2020,Volkswagen,108618,1,582578
2020,Peugeot,63855,2,356375
2020,Toyota,61943,3,364016
2020,Opel,58875,4,345517
2020,Renault,56822,5,323396
2020,Kia,44429,6,255129
2020,BMW,37478,7,216823
2020,Audi,35310,8,194187
2020,Hyundai,31847,9,189212
2020,Skoda,27633,10,153171
2020,Telsa,8542,11,51906
2020,Polestar,2536,12,7590
2021,Volkswagen,130484,1,582578
2021,Toyota,77189,2,364016
2021,Peugeot,76963,3,356375
2021,Opel,69997,4,345517
2021,Renault,65934,5,323396
2021,Kia,58615,6,255129
2021,BMW,51432,7,216823
2021,Audi,46469,8,194187
2021,Hyundai,40229,9,189212
2021,Skoda,37407,10,153171
2021,Telsa,5671,11,51906
2021,Polestar,2491,12,7590
2022,Volkswagen,138388,1,582578
2022,Peugeot,85273,2,356375
2022,Toyota,83464,3,364016
2022,Opel,71823,4,345517
2022,Renault,69632,5,323396
2022,Kia,65810,6,255129
2022,BMW,61038,7,216823
2022,Audi,53381,8,194187
2022,Hyundai,44332,9,189212
2022,Skoda,36810,10,153171
2022,Telsa,8856,11,51906
2022,Polestar,2563,12,7590
